plan_id,seed,generation,K,distance,delta_frac,lost_route_idx,lost_route_len,lost_route_delivery,lost_route_cost,lost_workload,substantive_by_len,substantive_by_work,substantive_either,fully_absorbable,extra_units,max_absorbed_customers,absorbed_customer_frac,max_absorbed_workload,absorbed_workload_frac,min_full_absorption_delta,feasible_block_insertions,lost_route
2,1,direct_fixed_k,7,1235689.0,0.4,6,21,135.29999999999998,151925.0,210.10000000000002,1,1,1,0,1,15,0.7142857142857143,143.3,0.6820561637315564,,159,61 49 15 46 93 78 31 56 58 28 94 4 38 5 6 86 80 59 85 72 89
3,1,direct_fixed_k,8,1279890.0,0.05,0,18,149.4,191848.0,225.4,1,1,1,0,1,1,0.05555555555555555,3.0,0.013309671694764862,,1,93 78 31 58 28 94 4 38 5 19 70 11 23 79 39 57 63 73
3,1,direct_fixed_k,8,1279890.0,0.05,1,23,147.29999999999998,402387.0,227.39999999999998,1,1,1,0,1,1,0.043478260869565216,2.4,0.010554089709762534,,3,72 46 56 1 48 34 100 51 47 74 24 82 64 12 32 87 77 10 71 66 29 8 75
3,1,direct_fixed_k,8,1279890.0,0.05,2,13,105.3,186697.0,161.0,1,1,1,0,1,3,0.23076923076923078,29.7,0.18447204968944098,,6,35 98 81 16 7 69 41 99 95 44 97 30 84
3,1,direct_fixed_k,8,1279890.0,0.05,3,10,54.400000000000006,43388.0,91.10000000000001,1,1,1,0,1,7,0.7,71.10000000000001,0.7804610318331504,,40,21 36 45 27 88 43 17 37 68 2
3,1,direct_fixed_k,8,1279890.0,0.05,4,14,138.29999999999998,283642.0,194.6,1,1,1,0,1,0,0.0,0.0,0.0,,0,26 60 3 52 65 42 40 92 76 54 14 55 9 25
3,1,direct_fixed_k,8,1279890.0,0.05,5,12,89.19999999999999,62916.0,138.5,1,1,1,0,1,3,0.25,34.2,0.24693140794223828,,13,62 67 96 22 53 83 6 86 80 59 85 89
3,1,direct_fixed_k,8,1279890.0,0.05,6,5,33.3,66400.0,45.1,0,0,0,0,1,1,0.2,2.1,0.04656319290465632,,1,50 90 33 91 15
3,1,direct_fixed_k,8,1279890.0,0.05,7,5,35.8,42612.0,55.800000000000004,0,0,0,0,1,3,0.6,34.2,0.6129032258064516,,7,13 20 49 61 18
3,1,direct_fixed_k,8,1279890.0,0.1,0,18,149.4,191848.0,225.4,1,1,1,0,1,3,0.16666666666666666,22.1,0.09804791481810116,,7,93 78 31 58 28 94 4 38 5 19 70 11 23 79 39 57 63 73
3,1,direct_fixed_k,8,1279890.0,0.1,1,23,147.29999999999998,402387.0,227.39999999999998,1,1,1,0,1,2,0.08695652173913043,8.3,0.0364995602462621,,8,72 46 56 1 48 34 100 51 47 74 24 82 64 12 32 87 77 10 71 66 29 8 75
3,1,direct_fixed_k,8,1279890.0,0.1,2,13,105.3,186697.0,161.0,1,1,1,0,1,6,0.46153846153846156,65.69999999999999,0.4080745341614906,,13,35 98 81 16 7 69 41 99 95 44 97 30 84
3,1,direct_fixed_k,8,1279890.0,0.1,3,10,54.400000000000006,43388.0,91.10000000000001,1,1,1,1,0,10,1.0,91.10000000000001,1.0,24740.0,74,21 36 45 27 88 43 17 37 68 2
3,1,direct_fixed_k,8,1279890.0,0.1,4,14,138.29999999999998,283642.0,194.6,1,1,1,0,1,0,0.0,0.0,0.0,,0,26 60 3 52 65 42 40 92 76 54 14 55 9 25
